outcome,elastic_net_r2_cv,pca_regression_r2_cv,pls_r2_cv,random_forest_r2_cv
COG COMPOSITE SCORE,-0.09877366770049485,-0.0638460382732847,-0.7912785302259117,-0.10208579378086369
LANG COMP SCORE,-0.4215769121749496,-0.5746593889210858,-1.2250836315073457,-0.4024145690664218
MOTOR COMPOSITE SCORE,-0.4878031479206932,-0.5212941695011724,-0.994193637391291,-0.4344193671511706
MOTOR FINE  SKILLS SCORE,-0.2257493525483369,-0.014462091945659793,0.0987310439153913,-0.18904997138924107
