feature,outcome,r,p_value,n,method,x_normal,y_normal
entropy_rate_mother_fHR_accel,Mother Score_PSS,-0.01669183178798747,0.8670963986824773,103,spearman,True,False
entropy_rate_mother_fHR_accel,Mother Score PDQ,0.11165984322929232,0.2614760663995521,103,spearman,True,False
entropy_rate_mother_fHR_accel,Mother CORTISOL (pg/mg of maternal hair),0.09682615688682968,0.3959428781219735,79,spearman,True,False
entropy_rate_mother_fHR_accel,COG COMPOSITE SCORE,-0.02044222204230796,0.8800294640744646,57,spearman,True,False
entropy_rate_mother_fHR_accel,LANG RECEPT SCORE,-0.22706274692834727,0.1054919593938565,52,pearson,True,True
entropy_rate_mother_fHR_accel,LANG EXPRES SCORE,-0.07515182880475142,0.5964561515129386,52,pearson,True,True
entropy_rate_mother_fHR_accel,LANG COMP SCORE,-0.11648529238043452,0.4108646027451168,52,pearson,True,True
entropy_rate_mother_fHR_accel,MOTOR FINE  SKILLS SCORE,0.0018237843526734373,0.98945635522521,55,pearson,True,True
entropy_rate_mother_fHR_accel,MOTOR GROSS SKILLS SCORE,-0.21328547053196123,0.1144956172258605,56,pearson,True,True
entropy_rate_mother_fHR_accel,MOTOR COMPOSITE SCORE,-0.12651035116680465,0.357373581852014,55,pearson,True,True
entropy_rate_fetus_fHR_decel,Mother Score_PSS,0.0707020718682844,0.5850224850826622,62,pearson,True,True
entropy_rate_fetus_fHR_decel,Mother Score PDQ,0.12872079728865723,0.31872689412392274,62,spearman,True,False
entropy_rate_fetus_fHR_decel,Mother CORTISOL (pg/mg of maternal hair),0.21166106722917094,0.1532225320708051,47,spearman,True,False
entropy_rate_fetus_fHR_decel,COG COMPOSITE SCORE,-0.03986360051702858,0.8174452527878959,36,spearman,True,False
entropy_rate_fetus_fHR_decel,LANG RECEPT SCORE,-0.22936751931693644,0.20666378686201375,32,pearson,True,True
entropy_rate_fetus_fHR_decel,LANG EXPRES SCORE,-0.02931437602077831,0.873461226613707,32,pearson,True,True
entropy_rate_fetus_fHR_decel,LANG COMP SCORE,-0.07764622656185838,0.6727354141668577,32,pearson,True,True
entropy_rate_fetus_fHR_decel,MOTOR FINE  SKILLS SCORE,0.1390934103840921,0.4255163245570408,35,pearson,True,True
entropy_rate_fetus_fHR_decel,MOTOR GROSS SKILLS SCORE,-0.3039436048116686,0.07151267411494718,36,pearson,True,True
entropy_rate_fetus_fHR_decel,MOTOR COMPOSITE SCORE,-0.07016673344324308,0.6887657893644759,35,pearson,True,True
entropy_rate_mother_fHR_decel,Mother Score_PSS,0.14570855543570557,0.2584742505919659,62,pearson,True,True
entropy_rate_mother_fHR_decel,Mother Score PDQ,0.2029566010159781,0.11363272789321431,62,spearman,True,False
entropy_rate_mother_fHR_decel,Mother CORTISOL (pg/mg of maternal hair),0.15637428860180982,0.2938768665204493,47,spearman,True,False
entropy_rate_mother_fHR_decel,COG COMPOSITE SCORE,-0.013592834274658927,0.9372853727754883,36,spearman,True,False
entropy_rate_mother_fHR_decel,LANG RECEPT SCORE,-0.3435423568800537,0.054216602069479265,32,pearson,True,True
entropy_rate_mother_fHR_decel,LANG EXPRES SCORE,-0.17868877587408155,0.3278245173844941,32,pearson,True,True
entropy_rate_mother_fHR_decel,LANG COMP SCORE,-0.2250167843061623,0.21564275375609362,32,pearson,True,True
entropy_rate_mother_fHR_decel,MOTOR FINE  SKILLS SCORE,-0.0766545760930813,0.6616256306855745,35,pearson,True,True
entropy_rate_mother_fHR_decel,MOTOR GROSS SKILLS SCORE,-0.3630902995697188,0.029514423385315364,36,pearson,True,True
entropy_rate_mother_fHR_decel,MOTOR COMPOSITE SCORE,-0.2902153279348869,0.09079863058355514,35,pearson,True,True
entropy_rate_fetus_mHR_accel,Mother Score_PSS,-0.06019049504582906,0.5284184030230268,112,spearman,True,False
