Parameter,Coef,SE,p-value,Sig
Conditioning(none),0.9712730226598173,0.07343221766960269,6.1450940789805644e-40,***
HR_Source(maternal):Conditioning(none),0.18055259166666665,0.09231587814156839,0.050487190615121934,†
Conditioning(mother_decel),-0.11223552544031268,0.11471073421565782,0.3278655678639689,ns
HR_Source(maternal),-0.05513349999999961,0.08671566801766006,0.5249092059879512,ns
HR_Source(maternal):Conditioning(mother_decel),0.031065071428572066,0.15718549680199403,0.8433320637237115,ns
Stress(stressed),-2.511042067251269e-16,0.030573809674328423,0.9999999999999934,ns
Sex(male),2.0531403287867132e-16,0.033647784398243376,0.9999999999999951,ns
Intercept,0.0,0.0795270643446797,1.0,ns
